id,address,lat,lng,location,name,subCategory,popularity,numReviews
374,19 rue des Frigos,48.83133672,2.379369362,Paris,Les Frigos,Performing Arts Venue,5,4
375,19 rue Pascal,48.837775,2.349371,Paris,La Tactique,Bar,7,9
376,Place Victor Hugo,48.86965501,2.285284996,Paris,Place Victor Hugo,Plaza,8,4
377,2 Avenue Franklin Delano Roosevelt,48.86787658,2.310562134,Paris,Theetre du Rond-Point,Theater,6,9
378,36 Rue Saint-Bernard,48.852897,2.381445,Paris,eglise Sainte-Marguerite,Church,10,1
379,Hippodrome de Lonchamp,48.85726112,2.233314514,Paris,Golf du Bois de Boulogne,Golf Course,7,8
380,Cimetiere du Pere Lachaise,48.85932324,2.393716238,Paris,Tombe de Jim Morrison,Cemetery,3,14
381,1 rue de sambre et meuse,48.8746244,2.370279217,Paris,Parc,Playground,0,1
382,17 avenue Kleber,48.87132351,2.293871937,Paris,Hotel Raphael,Hotel,6,11
383,170 rue d'alesia,48.83177088,2.314166023,Paris,Cafe Chineur,Bar,6,6
384,Rue Myrha,48.88658931,2.349786758,Paris,Rue Myrha,Neighborhood,5,4
385,15 rue de la butte aux cailles,48.827629,2.350062,Paris,Le Diapason,Bar,5,1
386,Rue des Abbesses,48.88520656,2.33659029,Paris,Rue des Abbesses,Other Great Outdoors,3,2
387,39 Boulevard du Port Royal,48.83766802,2.345476,Paris,Val Cafe,Bar,5,6
388,18 rue du Temple,48.85852902,2.353434629,Paris,Voulez-Vous,Gay Bar,6,33
389,73 boulevard du Montparnasse,48.843524,2.324543,Paris,Cafe La Ruche,Pub,6,10
390,Chemin de la Croix Catelan,48.86493088,2.251861563,Paris,Jardin du Pre Catelan,Park,10,2
391,Bois de Vincennes,48.84214598,2.423350013,Paris,Lac de Saint-Mande,Lake,6,4
392,Cimetiere du Pere Lachaise,48.85960462,2.398753166,Paris,Tombe d'Edith Piaf,Cemetery,0,1
393,Cimetiere du Pere Lachaise,48.861788,2.397981,Paris,Tombe d'Oscar Wilde,Cemetery,5,6
394,Avenue Kleber,48.86591342,2.289251734,Paris,Pub Kleber,Pub,8,7
395,56 rue de Bagnolet,48.8575906,2.399209296,Paris,L'Abribus Cafe,Bar,4,9
396,108 rue Menilmontant,48.869602,2.393357,Paris,Chez Luna,Bar,5,6
397,Porte de Bagnolet,48.86639803,2.413414121,Paris,Porte de Bagnolet,Plaza,0,0
398,Journal le Monde,48.82945128,2.348129238,Paris,Auditorium du Monde,Auditorium,0,0
399,34 Rue du Depart,48.8418489,2.322078074,Paris,Le Redlight,Nightclub,5,3
400,162 avenue de France,48.83167313,2.375793457,Paris,M Cafe,Internet Cafe,7,3
401,Boulevard Pereire,48.88351075,2.294247156,Paris,Promenade Pereire,Park,8,2
402,63 Rue Jean-Pierre Timbaud,48.867174,2.375521,Paris,Le Petit Garage,Bar,6,6
403,15 Rue de Bagnolet,48.8567318,2.395674409,Paris,Piston Pelican,Bar,6,7
404,Place de la Contrescarpe,48.84441227,2.34940052,Paris,Place de la Contrescarpe,Plaza,6,14
405,32 rue Sainte-Marthe,48.874096,2.372629,Paris,La Sardine,Bar,6,13
406,4 square Violet,48.84837739,2.293649916,Paris,Square Violet,Other Great Outdoors,0,0
407,rue de la Croix St Simon,48.854398,2.407962,Paris,Eglise Saint-Charles,Church,0,0
408,168 boulevard de Grenelle,48.8476993,2.301146771,Paris,Le Royal Cambronne,Brewery,2,11
409,172 Rue Championnet,48.89491324,2.335839272,Paris,Stade Championnet,Track Stadium,8,4
410,9 place du General Beuret,48.84174325,2.303212881,Paris,Le General Beuret,Bar,5,24
411,Boulevard Suchet,48.85455929,2.26204078,Paris,Stade Suchet,Basketball Court,0,0
412,Everywhere,48.84084387,2.351709543,Paris,5eme Arrondissement,Neighborhood,5,1
